id,data_type,entity_type,location.country_code,location.subdivision_name,location.municipality,provider,is_official,name,note,feed_contact_email,static_reference,urls.direct_download,urls.authentication_type,urls.authentication_info,urls.api_key_parameter_name,urls.latest,urls.license,location.bounding_box.minimum_latitude,location.bounding_box.maximum_latitude,location.bounding_box.minimum_longitude,location.bounding_box.maximum_longitude,location.bounding_box.extracted_on,status,features,redirect.id,redirect.comment
tld-6695-vp,gtfs_rt,vp,CA,Quebec,Saint-Hyacinthe,Ville de Saint-Hyacinthe,,,,,tld-6694,https://gtfs-rt.infra-hubup.fr/lpdlestd/realtime,0,,,,,45.596636,45.652233,-73.006398,-72.88893,2025-09-11 15:52:03.840952+00:00,active,,,
tld-6708,gtfs,,US,Nebraska,Scotts Bluff County,Open Plains Transit,True,,,,,https://irp.cdn-website.com/442ea718/files/uploaded/opt_gtfs.zip,0,,,https://files.mobilitydatabase.org/tld-6708/latest.zip,,41.09165,44.082467,-103.6782039,-101.711528,2024-12-06 20:55:44.372975+00:00,active,Bike Allowed|Feed Information|Headsigns|Route Colors|Shapes|Transfers|Trips Wheelchair Accessibility,,
tld-6711,gtfs,,CA,Quebec,Drummondville,Ville de Drummondville,True,,,,,https://geomatique.drummondville.ca/GTFS/GTFS_DMV.zip,0,,,https://files.mobilitydatabase.org/tld-6711/latest.zip,,45.82587123,45.97933932,-72.55123385,-72.4000275205471,2026-06-06 00:47:27.212861+00:00,active,Bike Allowed|Frequencies|Headsigns|Route Colors|Shapes|Transfers|Trips Wheelchair Accessibility,,
tld-6712,gtfs,,CA,Quebec,Trois-Rivières,Société de transport de Trois-Rivières,,,,,,https://www.donneesquebec.ca/recherche/dataset/a2d3c9de-4045-41e3-b2ea-5bb64bd8c50f/resource/71d94f75-5a36-4789-b581-a21d49dcd5f5/download/gtfs-sttr-hiv24.zip,0,,,https://files.mobilitydatabase.org/tld-6712/latest.zip,,46.278972,46.42313,-72.690544,-72.48188,2024-12-06 20:54:37.075619+00:00,inactive,Fares V1|Feed Information|Headsigns|Route Colors|Shapes|Transfers,,
tld-6713,gtfs,,US,West Virginia,Beckley,New River Transit Authority,True,,,,,https://passio3.com/beckley/passioTransit/gtfs/google_transit.zip,0,,,https://files.mobilitydatabase.org/tld-6713/latest.zip,,37.569655352,38.056659698,-81.5402554,-81.103942871,2026-06-03 01:08:09.550636+00:00,active,Bike Allowed|Feed Information|Route Colors|Shapes|Stops Wheelchair Accessibility|Trips Wheelchair Accessibility,,
tld-6714-sa,gtfs_rt,sa,US,West Virginia,Beckley,New River Transit Authority,,,,,tld-6713,https://passio3.com/beckley/passioTransit/gtfs/realtime/serviceAlerts,0,,,,,37.569655352,38.056659698,-81.5402554,-81.103942871,2026-06-03 01:08:09.550636+00:00,active,,,
tld-6714-tu,gtfs_rt,tu,US,West Virginia,Beckley,New River Transit Authority,,,,,tld-6713,https://passio3.com/beckley/passioTransit/gtfs/realtime/tripUpdates,0,,,,,37.569655352,38.056659698,-81.5402554,-81.103942871,2026-06-03 01:08:09.550636+00:00,active,,,
tld-6714-vp,gtfs_rt,vp,US,West Virginia,Beckley,New River Transit Authority,,,,,tld-6713,https://passio3.com/beckley/passioTransit/gtfs/realtime/vehiclePositions,0,,,,,37.569655352,38.056659698,-81.5402554,-81.103942871,2026-06-03 01:08:09.550636+00:00,active,,,
tld-6719,gtfs,,US,Arizona,Mohave County,Havasu Landing Resort & Casino Ferry,,,,,,https://gtfs.calitp.org/production/HavasuLandingFerryGTFS.zip,0,,,https://files.mobilitydatabase.org/tld-6719/latest.zip,,34.472482,34.49101,-114.404418,-114.348389,2024-12-06 20:53:52.861293+00:00,inactive,Fare Media|Fare Products|Fares V1|Feed Information|Shapes|Zone-Based Fares,,
tld-6724,gtfs,,US,California,Irvine,City of Irvine,True,,,,,https://passio3.com/irvine/passioTransit/gtfs/google_transit.zip,0,,,https://files.mobilitydatabase.org/tld-6724/latest.zip,,33.651539,33.731875,-117.809192,-117.732860708,2026-05-15 00:39:34.796241+00:00,active,,,
